ts,door_state,sphone_signal,label,type
1.0961151002853848,0,0,1,1
1.0961196536692805,0,0,1,1
1.096124207053176,0,0,1,1
1.0961287604370715,0,0,1,1
1.0961378672048627,0,0,1,1
1.0961424205887584,0,0,1,1
1.096146973972654,0,0,1,1
1.0961515273565494,1,1,1,1
1.0961560807404451,0,0,1,1
1.0961606341243406,0,0,1,1
1.096165187508236,0,0,1,1
1.0961697408921318,0,0,1,1
1.0961742942760273,0,0,1,1
1.0961788476599228,0,0,1,1
1.0961834010438185,0,0,1,1
1.096187954427714,0,0,1,1
1.0961925078116095,0,0,1,1
1.0961970611955052,0,0,1,1
1.0962016145794007,0,0,1,1
1.0962061679632964,0,0,1,1
1.0962107213471919,0,0,1,1
1.0962152747310874,0,0,1,1
1.096219828114983,0,0,1,1
1.0962243814988786,0,0,1,1
1.096228934882774,0,0,1,1
1.0962334882666698,0,0,1,1
1.0962380416505653,0,0,1,1
1.0962425950344608,0,0,1,1
1.0962471484183565,0,0,1,1
1.096251701802252,0,0,1,1
1.0962562551861477,0,0,1,1
1.0962608085700432,1,1,1,1
1.0962653619539386,0,0,1,1
1.0962699153378344,0,0,1,1
1.0962744687217298,0,0,1,1
1.0962790221056253,0,0,1,1
1.096283575489521,0,0,1,1
1.0962881288734165,0,0,1,1
1.096292682257312,0,0,1,1
1.0962972356412077,0,0,1,1
1.0963017890251032,0,0,1,1
1.0963063424089987,0,0,1,1
1.0963108957928944,0,0,1,1
1.09631544917679,0,0,1,1
1.0963245559445811,0,0,1,1
1.0963291093284766,0,0,1,1
1.0963336627123723,0,0,1,1
1.0963382160962678,0,0,1,1
1.0963427694801633,0,0,1,1
1.096347322864059,0,0,1,1
1.0963518762479545,0,0,1,1
1.09635642963185,0,0,1,1
1.0963609830157457,0,0,1,1
1.0963655363996412,0,0,1,1
1.096370089783537,0,0,1,1
1.0963746431674324,0,0,1,1
1.0963791965513279,0,0,1,1
1.0963837499352236,0,0,1,1
1.096388303319119,0,0,1,1
1.0963928567030146,0,0,1,1
1.0963974100869103,0,0,1,1
1.0964019634708058,0,0,1,1
1.0964065168547013,0,0,1,1
1.096411070238597,0,0,1,1
1.0964156236224925,0,0,1,1
1.0964201770063882,0,0,1,1
1.0964247303902837,0,0,1,1
1.0964292837741791,0,0,1,1
1.0964338371580749,1,1,1,1
1.0964383905419703,0,0,1,1
1.0964429439258658,0,0,1,1
1.0964474973097615,0,0,1,1
1.096452050693657,0,0,1,1
1.0964566040775525,1,1,1,1
1.0964611574614482,0,0,1,1
1.0964657108453437,0,0,1,1
1.0964702642292392,0,0,1,1
1.096474817613135,0,0,1,1
1.0964793709970304,0,0,1,1
1.0964839243809261,0,0,1,1
1.0964884777648216,0,0,1,1
1.096493031148717,0,0,1,1
1.0964975845326128,0,0,1,1
1.0965021379165083,0,0,1,1
1.0965066913004038,0,0,1,1
1.0965112446842995,0,0,1,1
1.096515798068195,1,1,1,1
1.0965203514520905,0,0,1,1
1.0965249048359862,0,0,1,1
1.0965294582198817,1,1,1,1
1.0965340116037774,0,0,1,1
1.0965385649876729,0,0,1,1
1.0965431183715684,0,0,1,1
1.096547671755464,0,0,1,1
1.0965522251393596,0,0,1,1
1.096556778523255,0,0,1,1
1.0965613319071508,0,0,1,1
1.0965658852910463,0,0,1,1
1.0965704386749417,0,0,1,1
1.0965749920588375,0,0,1,1
1.096579545442733,0,0,1,1
1.0965840988266287,0,0,1,1
1.0965886522105242,0,0,1,1
1.0965932055944196,0,0,1,1
1.0965977589783154,0,0,1,1
1.0966023123622108,0,0,1,1
1.0966068657461063,0,0,1,1
1.096611419130002,0,0,1,1
1.0966159725138975,0,0,1,1
1.096620525897793,0,0,1,1
1.0966250792816887,0,0,1,1
1.0966296326655842,0,0,1,1
1.0966341860494797,0,0,1,1
1.0966387394333754,0,0,1,1
1.096643292817271,0,0,1,1
1.096652399585062,0,0,1,1
1.0966569529689576,0,0,1,1
1.0966615063528533,0,0,1,1
1.0966660597367488,0,0,1,1
1.0966715237974234,0,0,1,1
1.096676077181319,1,1,1,1
1.0966806305652146,0,0,1,1
1.0969684044274146,0,0,1,1
1.09697295781131,0,0,1,1
1.09697295781131,0,0,1,1
1.0969775111952058,0,0,1,1
1.0969775111952058,0,0,1,1
1.0969820645791013,0,0,1,1
1.0969820645791013,0,0,1,1
1.0969866179629968,0,0,1,1
1.0969866179629968,0,0,1,1
1.0969911713468925,0,0,1,1
1.0969911713468925,0,0,1,1
1.096995724730788,0,0,1,1
1.096995724730788,0,0,1,1
1.0970002781146835,0,0,1,1
1.0970002781146835,0,0,1,1
1.0970048314985792,0,0,1,1
1.0970048314985792,0,0,1,1
1.0970093848824747,0,0,1,1
1.0970093848824747,0,0,1,1
1.0970139382663704,0,0,1,1
1.0970139382663704,0,0,1,1
1.0970184916502659,0,0,1,1
1.0970184916502659,0,0,1,1
1.0970230450341614,0,0,1,1
1.0970230450341614,1,1,1,1
1.097027598418057,0,0,1,1
1.097027598418057,0,0,1,1
1.0970321518019526,0,0,1,1
1.0970321518019526,0,0,1,1
1.097036705185848,0,0,1,1
1.097036705185848,0,0,1,1
1.0970412585697438,0,0,1,1
1.0970412585697438,0,0,1,1
1.0970458119536393,0,0,1,1
1.0970458119536393,0,0,1,1
1.0970503653375347,0,0,1,1
1.0970503653375347,0,0,1,1
1.0970549187214305,0,0,1,1
1.0970549187214305,1,1,1,1
1.097059472105326,0,0,1,1
1.097059472105326,0,0,1,1
1.0970640254892217,0,0,1,1
1.0970640254892217,0,0,1,1
1.0970685788731172,0,0,1,1
1.0970685788731172,0,0,1,1
1.0970731322570126,0,0,1,1
1.0970731322570126,0,0,1,1
1.0970776856409084,0,0,1,1
1.0970776856409084,0,0,1,1
1.0970822390248038,1,1,1,1
1.0970822390248038,0,0,1,1
1.0970867924086993,0,0,1,1
1.0970867924086993,0,0,1,1
1.097091345792595,0,0,1,1
1.097091345792595,0,0,1,1
1.0970958991764905,0,0,1,1
1.0970958991764905,1,1,1,1
1.097100452560386,0,0,1,1
1.097100452560386,0,0,1,1
1.0971095593281772,0,0,1,1
1.0971095593281772,0,0,1,1
1.0971141127120727,0,0,1,1
1.0971141127120727,0,0,1,1
1.0971186660959684,1,1,1,1
1.0971186660959684,1,1,1,1
1.097123219479864,0,0,1,1
1.097123219479864,0,0,1,1
1.0971277728637596,0,0,1,1
1.0971277728637596,0,0,1,1
1.097132326247655,1,1,1,1
1.097132326247655,0,0,1,1
1.0971368796315506,1,1,1,1
1.0971368796315506,0,0,1,1
1.0971414330154463,0,0,1,1
1.0971414330154463,0,0,1,1
1.0971459863993418,0,0,1,1
1.0971459863993418,0,0,1,1
1.0971505397832373,0,0,1,1
1.0971505397832373,0,0,1,1
1.097155093167133,0,0,1,1
1.097155093167133,0,0,1,1
1.0971596465510285,0,0,1,1
1.0971596465510285,0,0,1,1
1.097164199934924,0,0,1,1
1.097164199934924,0,0,1,1
1.0971687533188197,0,0,1,1
1.0971687533188197,0,0,1,1
1.0971733067027152,0,0,1,1
1.0971733067027152,0,0,1,1
1.097177860086611,0,0,1,1
1.097177860086611,0,0,1,1
1.0971824134705064,0,0,1,1
1.0971824134705064,1,1,1,1
1.0971869668544019,1,1,1,1
1.0971869668544019,0,0,1,1
1.0971915202382976,0,0,1,1
1.0971915202382976,0,0,1,1
1.097196073622193,0,0,1,1
1.097196073622193,0,0,1,1
1.0972006270060886,0,0,1,1
1.0972006270060886,1,1,1,1
1.0972051803899843,0,0,1,1
1.0972051803899843,0,0,1,1
1.0972097337738798,0,0,1,1
1.0972097337738798,0,0,1,1
1.0972142871577752,0,0,1,1
1.0972142871577752,1,1,1,1
1.097218840541671,0,0,1,1
1.097218840541671,0,0,1,1
1.0972233939255664,1,1,1,1
1.0972233939255664,0,0,1,1
1.0972279473094622,0,0,1,1
1.0972279473094622,0,0,1,1
1.0972325006933576,0,0,1,1
1.0972325006933576,0,0,1,1
1.0972370540772531,0,0,1,1
1.0972370540772531,0,0,1,1
1.0972416074611488,0,0,1,1
1.0972416074611488,0,0,1,1
1.0972461608450443,0,0,1,1
1.0972461608450443,0,0,1,1
1.0972507142289398,0,0,1,1
1.0972507142289398,0,0,1,1
1.0972552676128355,0,0,1,1
1.0972552676128355,0,0,1,1
1.097259820996731,0,0,1,1
1.097259820996731,0,0,1,1
1.0972643743806265,0,0,1,1
1.0972643743806265,0,0,1,1
1.0972689277645222,1,1,1,1
1.0972689277645222,0,0,1,1
1.0972734811484177,0,0,1,1
1.0972743918251968,0,0,1,1
1.0972780345323132,0,0,1,1
1.0972789452090925,0,0,1,1
1.097282587916209,0,0,1,1
1.097283498592988,0,0,1,1
1.0972871413001044,0,0,1,1
1.0972880519768835,0,0,1,1
1.0972926053607792,0,0,1,1
1.0972926053607792,0,0,1,1
1.0972971587446747,0,0,1,1
1.0972971587446747,0,0,1,1
1.0973017121285702,0,0,1,1
1.0973017121285702,0,0,1,1
1.097306265512466,0,0,1,1
1.097306265512466,0,0,1,1
1.0973108188963614,0,0,1,1
1.0973108188963614,0,0,1,1
1.0973153722802569,0,0,1,1
1.0973153722802569,0,0,1,1
1.0973199256641526,0,0,1,1
1.0973199256641526,0,0,1,1
1.097324479048048,0,0,1,1
1.097324479048048,1,1,1,1
1.0973290324319438,0,0,1,1
1.0973290324319438,0,0,1,1
1.0973335858158393,0,0,1,1
1.0973335858158393,0,0,1,1
1.0973381391997348,0,0,1,1
1.0973381391997348,0,0,1,1
1.0973426925836305,0,0,1,1
1.0973426925836305,0,0,1,1
1.097347245967526,0,0,1,1
1.097347245967526,0,0,1,1
1.0973517993514215,0,0,1,1
1.0973517993514215,1,1,1,1
1.0973609061192127,0,0,1,1
1.0973609061192127,1,1,1,1
1.0973654595031082,1,1,1,1
1.0973654595031082,1,1,1,1
1.0973700128870039,0,0,1,1
1.0973700128870039,0,0,1,1
1.0973745662708994,0,0,1,1
1.0973745662708994,1,1,1,1
1.0973791196547948,0,0,1,1
1.0973791196547948,0,0,1,1
1.0973836730386906,0,0,1,1
1.0973836730386906,0,0,1,1
1.097388226422586,0,0,1,1
1.097388226422586,0,0,1,1
1.0973927798064818,0,0,1,1
1.0973927798064818,0,0,1,1
1.0973973331903772,0,0,1,1
